trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-178.58619910374924,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-174.83533980242163,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-96.87931090174696,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-163.3642733660394,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,2,-113.32007334448745,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-61.078597155989705,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-122.81540996634678,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,10,-72.85375681860936,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,15,-23.08938391967613,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-130.6979976725367,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-128.4519896806145,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-33.01091912133806,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,12,-5.78646485734431,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,6,17.723981039713912,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,12,-25.077752313867755,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,-106.74314260129174,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-28.966516425010532,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,31.950589184160517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,16,17.644997637221497,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,18,13.417158730609748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,5,32.148276836286215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,8,16.401349016007153,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,14,17.93430027054965,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,12,-14.147162497207924,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-6.479424675802499,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,8,22.147919573073395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",35,15,8.05072849918378,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-14.429569604413986,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,10,12.757648435342041,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,15,6.519727742549141,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
