trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",30,0,-185.73451621259312,"{0: 16, 1: 7, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.002, 'e': 0.9999980000006666}",25,0,-86.67508162156018,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.9999920000106667}",20,0,-68.73690398094902,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.002, 'e': 0.999982000054}",35,0,-202.7785863963095,"{0: 19, 1: 5, 2: 6, 3: 3, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.9999680001706663}",25,0,-145.3944230264861,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9999500004166653}",20,0,-141.34395504382434,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9999280008639958}",20,0,-153.2031796961688,"{0: 13, 1: 0, 2: 1, 3: 4, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9999020016006562}",20,0,-80.84515398149281,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9998720027306434}",20,15,-4.55005617611349,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.002, 'e': 0.9998380043739528}",25,0,-174.48020754356972,"{0: 13, 1: 0, 2: 7, 3: 4, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9998000066665778}",20,13,-48.40473157440758,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.002, 'e': 0.9997580097605092}",30,0,-105.43772225923756,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9997120138237345}",20,0,-61.05177949938997,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9996620190402377}",20,0,-164.92086445132543,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.002, 'e': 0.9996080256099974}",20,0,-28.09261504600832,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9995500337489875}",30,0,-152.46730731604504,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9994880436891754}",20,0,-125.22973948904243,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9994220556785212}",20,0,-138.78737551368943,"{0: 10, 1: 4, 2: 1, 3: 4, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9993520699809768}",20,0,-185.2549286893502,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.002, 'e': 0.9992780868764849}",25,0,-129.76630727347936,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.002, 'e': 0.9992001066609779}",20,0,-130.10192819317388,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9991181296463766}",20,0,-164.46136645712087,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
23,False,"{'a': 0.002, 'e': 0.9990321561605888}",20,0,-126.93425521701681,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
