trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.03, 'e': 0.9704455335485082}",25,0,-105.77024284339734,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.03, 'e': 0.9417645335842487}",25,0,-200.30950293838046,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.03, 'e': 0.9139311852712282}",20,0,-107.65770287477511,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.03, 'e': 0.8869204367171575}",20,0,-108.25413804807287,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.03, 'e': 0.8607079764250578}",25,0,-26.6413910769867,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.03, 'e': 0.835270211411272}",20,1,-73.80275383843659,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.03, 'e': 0.8105842459701871}",25,0,-153.18489693275495,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.03, 'e': 0.7866278610665535}",20,0,-115.40033463418833,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.03, 'e': 0.7633794943368531}",25,0,-95.16702796778439,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.03, 'e': 0.7408182206817179}",30,0,-121.02734873415699,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.03, 'e': 0.7189237334319262}",25,0,-182.94871067725015,"{0: 11, 1: 7, 2: 2, 3: 3, 4: 2}",0
12,False,"{'a': 0.03, 'e': 0.697676326071031}",20,0,-47.402701421035296,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.03, 'e': 0.6770568744981647}",20,0,-137.02360325903936,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.03, 'e': 0.6570468198150567}",25,0,-221.19641765005275,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
15,False,"{'a': 0.03, 'e': 0.6376281516217733}",20,0,-76.94263651566725,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.03, 'e': 0.6187833918061408}",20,0,-93.08070843294387,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.03, 'e': 0.6004955788122659}",25,0,-88.73697530973652,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.03, 'e': 0.5827482523739896}",20,0,-218.67316099248242,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.03, 'e': 0.5655254386995371}",20,0,-142.4906014736229,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.03, 'e': 0.5488116360940265}",20,0,-145.2130642764615,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-156.44540669239532,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-8.913580494815061,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-32.52889283866931,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-124.85860597125841,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-78.87321431231412,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-83.13780344334769,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-114.39403663232393,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,0,-228.46859982954257,"{0: 21, 1: 4, 2: 5, 3: 1, 4: 4}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-84.44887356212529,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-94.84940923368303,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
11,True,"{'a': 0.0, 'e': 0.0}",35,25,-3.6637325876928077,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",20,0,-99.58300496824977,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
